NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type
26,1,河北宣化传统葡萄园,河北省张家口市宣化区春光乡,115.061,40.655,林业和林果系统,Forestry and forestry products system,FFPS
27,2,内蒙古敖汉旱作农业系统,内蒙古赤峰市敖汉旗宝国吐乡,119.916,42.289,旱作农业系统,Dryland farming system,DFS
28,3,辽宁鞍山南果梨栽培系统,辽宁省鞍山市千山区大孤山镇对桩石村,123.046,41.009,林业和林果系统,Forestry and forestry products system,FFPS
29,4,辽宁宽甸柱参传统栽培体系,辽宁省丹东市宽甸满族自治县振江镇石柱子村,125.405,40.767,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS
30,5,江苏兴化垛田传统农业系统,江苏省泰州市兴化市垛田镇,119.856,32.932,土地利用系统,Land use system,LUS
31,6,浙江青田稻鱼共生系统,浙江青田县方山乡龙现村,120.304,27.995,复合农业生产系统,Comprehensive agricultural production system,CAPS
32,7,浙江绍兴会稽山古香榧群,浙江绍兴市柯桥区稽东镇,120.576,29.775,林业和林果系统,Forestry and forestry products system,FFPS
33,8,福建福州茉莉花种植与茶文化系统,福建省福州市闽侯县上街镇侯官村,119.187,26.1,茶文化系统,Tea culture system,TCS
34,9,福建尤溪联合梯田,福建省三明市尤溪县联合镇,118.227,26.373,稻作农业系统,Rice farming system,RFS
35,10,江西万年稻作文化系统,江西万年县裴梅镇荷桥村山区,117.132,28.604,稻作农业系统,Rice farming system,RFS
36,11,湖南新化紫鹊界梯田,湖南省娄底市新化县水车镇,110.992,27.679,稻作农业系统,Rice farming system,RFS
37,12,云南红河哈尼稻作梯田系统,云南红河州哀牢山区,103.373,23.366,稻作农业系统,Rice farming system,RFS
38,13,云南普洱古茶园与茶文化系统,云南普洱市惠民乡景迈村,99.996,22.218,茶文化系统,Tea culture system,TCS
39,14,贵州从江侗乡稻鱼鸭系统,贵州从江县加榜乡加车村,108.573,25.59,复合农业生产系统,Comprehensive agricultural production system,CAPS
40,15,陕西佳县古枣园,陕西省榆林市佳县朱家坬镇泥河沟村,110.494,38.187,林业和林果系统,Forestry and forestry products system,FFPS
41,16,甘肃皋兰什川古梨园,甘肃省兰州市皋兰县什川镇,104.005,36.152,林业和林果系统,Forestry and forestry products system,FFPS
42,17,甘肃迭部扎尕那农林牧复合系统,甘肃省甘南藏族自治州迭部县益哇镇扎尕那行政村,103.19,34.239,复合农业生产系统,Comprehensive agricultural production system,CAPS
43,18,新疆吐鲁番坎儿井农业系统,新疆维吾尔自治区吐鲁番市高昌区新城西门村,89.143,42.944,水利灌溉系统,Water irrigation system,WIS
44,19,天津滨海崔庄古冬枣园,天津市滨海新区大港太平镇崔庄村,117.233,38.629,林业和林果系统,Forestry and forestry products system,FFPS
45,20,河北宽城传统板栗栽培系统,河北省承德市宽城满族自治县铧尖镇,118.547,40.342,林业和林果系统,Forestry and forestry products system,FFPS
46,21,河北涉县旱作梯田系统,河北省邯郸市涉县井店镇王金庄村,113.829,36.59,旱作农业系统,Dryland farming system,DFS
47,22,内蒙古阿鲁科尔沁草原游牧系统,内蒙古自治区赤峰市阿鲁科尔沁旗巴彦温都尔苏木,119.69,44.722,畜牧水产系统,Livestock and aquaculture system,LAS
48,23,浙江杭州西湖龙井茶文化系统,浙江省杭州市西湖区西湖街道龙井村,120.102,30.221,茶文化系统,Tea culture system,TCS
49,24,浙江湖州桑基鱼塘系统,浙江省湖州市南浔区和孚镇荻港村,120.154,30.757,复合农业生产系统,Comprehensive agricultural production system,CAPS
50,25,浙江庆元香菇文化系统,浙江省丽水市庆元县百山祖镇,119.18,27.738,复合农业生产系统,Comprehensive agricultural production system,CAPS
51,26,福建安溪铁观音茶文化系统,福建省泉州市安溪县西坪镇,117.944,25.022,茶文化系统,Tea culture system,TCS
52,27,江西崇义客家梯田系统,江西省赣州市崇义县上堡乡水南村,114.047,25.769,稻作农业系统,Rice farming system,RFS
53,28,山东夏津黄河故道古桑树群,山东省德州市夏津县苏留庄镇,116.135,37.092,林业和林果系统,Forestry and forestry products system,FFPS
54,29,湖北赤壁羊楼洞砖茶文化系统,湖北省咸宁市赤壁市羊楼洞古镇,113.743,29.543,茶文化系统,Tea culture system,TCS
55,30,湖南新晃侗藏红米种植系统,湖南省怀化市新晃侗族自治县扶罗镇,109.138,27.191,稻作农业系统,Rice farming system,RFS
56,31,广东潮安凤凰单丛茶文化系统,广东省潮州市潮安区凤凰镇乌岽村,116.654,23.955,茶文化系统,Tea culture system,TCS
57,32,广西龙胜龙脊梯田系统,广西桂林市龙胜各族自治县龙脊镇,110.068,25.735,稻作农业系统,Rice farming system,RFS
58,33,四川江油辛夷花传统栽培体系,四川省绵阳市江油市大康镇旱丰村,104.65,31.845,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS
59,34,云南广南八宝稻作生态系统,云南省文山州广南县八宝镇,105.432,23.746,稻作农业系统,Rice farming system,RFS
60,35,云南剑川稻麦复种系统,云南省大理州剑川县剑湖周边金华镇,99.912,26.537,稻作农业系统,Rice farming system,RFS
61,36,甘肃岷县当归种植系统,甘肃省定西市岷县梅川镇西坝村,104.024,34.574,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS
62,37,宁夏灵武长枣种植系统,宁夏回族自治区银川市灵武市东塔镇果园村,106.359,38.084,林业和林果系统,Forestry and forestry products system,FFPS
63,38,新疆哈密市哈密瓜栽培与贡瓜文化系统,新疆维吾尔自治区哈密市伊州区花园乡,93.476,42.747,蔬菜瓜果系统,Vegetable and fruit system,VFS
64,39,北京平谷四座楼麻核桃生产系统,北京市平谷区熊儿寨乡,117.128,40.284,林业和林果系统,Forestry and forestry products system,FFPS
65,40,北京京西稻作文化系统,北京市海淀区上庄镇,116.209,40.095,稻作农业系统,Rice farming system,RFS
66,41,辽宁桓仁京租稻栽培系统,辽宁省本溪市桓仁满族自治县桓仁镇,125.31,41.302,稻作农业系统,Rice farming system,RFS
67,42,吉林延边苹果梨栽培系统,吉林省延边州龙井市老头沟镇小箕村,129.135,42.884,林业和林果系统,Forestry and forestry products system,FFPS
68,43,黑龙江抚远赫哲族鱼文化系统,黑龙江省佳木斯市抚远市抓吉赫哲族村,134.645,48.169,畜牧水产系统,Livestock and aquaculture system,LAS
69,44,黑龙江宁安响水稻作文化系统,黑龙江省牡丹江市宁安市渤海镇,129.162,44.119,稻作农业系统,Rice farming system,RFS
70,45,江苏泰兴银杏栽培系统,江苏省泰州市泰兴市宣堡镇,119.989,32.298,林业和林果系统,Forestry and forestry products system,FFPS
71,46,浙江仙居杨梅栽培系统,浙江省台州市仙居县横溪程岙,120.431,28.769,林业和林果系统,Forestry and forestry products system,FFPS
72,47,浙江云和梯田农业系统:,浙江省丽水市云和县崇头镇,119.488,28.059,稻作农业系统,Rice farming system,RFS
73,48,安徽寿县芍陂(安丰塘)及灌区农业系统,安徽省淮南市寿县安丰塘镇,116.674,32.327,水利灌溉系统,Water irrigation system,WIS
74,49,安徽休宁山泉流水养鱼系统,安徽省黄山市休宁县板桥乡,117.948,29.61,畜牧水产系统,Livestock and aquaculture system,LAS
75,50,山东枣庄古枣林,山东省枣庄市山亭区店子镇,117.36,35.275,林业和林果系统,Forestry and forestry products system,FFPS
76,51,山东乐陵枣林复合系统,山东省德州市乐陵市朱集镇,117.265,37.785,林业和林果系统,Forestry and forestry products system,FFPS
77,52,河南灵宝川塬古枣林,河南省三门峡市灵宝市大王镇,111.018,34.658,林业和林果系统,Forestry and forestry products system,FFPS
78,53,湖北恩施玉露茶文化系统,湖北省恩施土家族苗族自治州恩施市芭蕉侗族乡黄连溪村,109.363,30.087,茶文化系统,Tea culture system,TCS
79,54,广西隆安壮族“那文化”稻作文化系统,广西南宁市隆安县南圩镇,107.666,23.128,稻作农业系统,Rice farming system,RFS
80,55,四川苍溪雪梨栽培系统,广元市苍溪县陵江镇,105.934,31.727,林业和林果系统,Forestry and forestry products system,FFPS
81,56,贵州花溪古茶树与茶文化系统,贵州省贵阳市花溪区久安乡,106.587,26.52,茶文化系统,Tea culture system,TCS
82,57,云南双江勐库古茶园与茶文化系统,云南省临沧市双江县勐库,99.883,23.619,茶文化系统,Tea culture system,TCS
83,58,甘肃永登苦水玫瑰农作系统,甘肃省兰州市永登县苦水镇,103.431,36.272,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS
84,59,宁夏中宁枸杞种植系统,宁夏中卫市中宁县舟塔乡潘营村,105.605,37.48,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS
85,60,新疆奇台旱作农业系统,新疆维吾尔自治区昌吉州奇台县东湾,89.386,43.963,旱作农业系统,Dryland farming system,DFS
86,61,河北迁西板栗复合栽培系统,河北省唐山市迁西县汉儿庄镇,118.216,40.365,林业和林果系统,Forestry and forestry products system,FFPS
87,62,河北兴隆传统山楂栽培系统,河北省承德市兴隆县六道河镇,117.32,40.397,林业和林果系统,Forestry and forestry products system,FFPS
88,63,山西稷山板枣生产系统,山西省运城市稷山县稷峰镇,110.978,35.604,林业和林果系统,Forestry and forestry products system,FFPS
89,64,内蒙古伊金霍洛农牧生产系统,内蒙古自治区鄂尔多斯市伊金霍洛旗伊金霍洛镇,109.795,39.342,复合农业生产系统,Comprehensive agricultural production system,CAPS
90,65,吉林柳河山葡萄栽培系统,吉林省通化市柳河县柳河镇,125.732,42.288,林业和林果系统,Forestry and forestry products system,FFPS
91,66,江苏高邮湖泊湿地农业系统,江苏省扬州市高邮市界首镇,119.42,33.005,复合农业生产系统,Comprehensive agricultural production system,CAPS
92,67,江苏无锡阳山水蜜桃栽培系统,江苏省无锡市惠山区阳山镇,120.083,31.577,林业和林果系统,Forestry and forestry products system,FFPS
93,68,浙江德清淡水珍珠传统养殖与利用系统,浙江省湖州市德清县阜溪街道龙胜村,120.016,30.613,畜牧水产系统,Livestock and aquaculture system,LAS
94,69,安徽铜陵白姜种植系统,安徽省铜陵市天门镇,117.835,30.834,蔬菜瓜果系统,Vegetable and fruit system,VFS
95,70,安徽黄山太平猴魁茶文化系统,安徽省黄山市黄山区新明乡猴坑村,118.197,30.371,茶文化系统,Tea culture system,TCS
96,71,福建福鼎白茶文化系统,福建省宁德市福鼎市点头镇,120.179,27.235,茶文化系统,Tea culture system,TCS
97,72,江西南丰蜜橘栽培系统,江西省抚州市南丰县琴城镇水南村,116.52,27.201,林业和林果系统,Forestry and forestry products system,FFPS
98,73,江西广昌莲作文化系统,江西省抚州市广昌县姚西村,116.298,26.545,蔬菜瓜果系统,Vegetable and fruit system,VFS
99,74,山东章丘大葱栽培系统,山东省济南市章丘区绣惠街道王金村,117.481,36.83,蔬菜瓜果系统,Vegetable and fruit system,VFS
100,75,河南新安传统樱桃种植系统,河南省洛阳市新安县五头镇,112.225,34.765,林业和林果系统,Forestry and forestry products system,FFPS
101,76,湖南新田三味辣椒种植系统,湖南省永州市新田县陶岭镇,112.328,25.739,蔬菜瓜果系统,Vegetable and fruit system,VFS
102,77,湖南花垣子腊贡米复合种养系统,湖南省湘西土家族苗族自治州花垣县石栏镇子腊村,109.384,28.389,复合农业生产系统,Comprehensive agricultural production system,CAPS
103,78,广西恭城月柿栽培系统,广西桂林市恭城瑶族自治县莲花镇,110.871,24.731,林业和林果系统,Forestry and forestry products system,FFPS
104,79,海南海口羊山荔枝种植系统,海南省海口市西南部石山镇,110.205,19.938,林业和林果系统,Forestry and forestry products system,FFPS
105,80,海南琼中山兰稻作文化系统,海南省琼中黎族苗族自治县上安乡南万村,109.807,18.881,稻作农业系统,Rice farming system,RFS
106,81,重庆石柱黄连生产系统,重庆市石柱土家族自治县黄水镇,108.391,30.243,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS
107,82,四川盐亭嫘祖蚕桑生产系统,四川省绵阳市盐亭县金鸡镇,105.62,31.01,蚕桑系统,Silkworm system,SS
