NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
26,1,河北宣化传统葡萄园,河北省张家口市宣化区春光乡,115.061,40.655,林业和林果系统,Forestry and forestry products system,FFPS,47.0,31.0,34.0,52.0,51.0,33.0,46.0,41.0,65.0,53.0,32.0,44.0,30.0,42.0,44.0,60.0,74.0,67.0,26.0,60.0,52.0,38.0,46.0,36.0,35.0,36.0,36.0,37.0,55.0,49.0,64.0,39.0,60.0,70.0,46.0,25.0,38.0,53.0,58.0,44.0,46.0,55.0,50.0,34.0,37.0,34.0
27,2,内蒙古敖汉旱作农业系统,内蒙古赤峰市敖汉旗宝国吐乡,119.916,42.289,旱作农业系统,Dryland farming system,DFS,47.0,36.0,44.0,52.0,67.0,36.0,45.0,37.0,88.0,51.0,25.0,44.0,40.0,37.0,39.0,57.0,43.0,62.0,55.0,39.0,30.0,57.0,63.0,34.0,50.0,45.0,36.0,37.0,79.0,42.0,54.0,50.0,52.0,64.0,81.0,39.0,29.0,59.0,64.0,44.0,40.0,53.0,41.0,44.0,36.0,43.0
28,3,辽宁鞍山南果梨栽培系统,辽宁省鞍山市千山区大孤山镇对桩石村,123.046,41.009,林业和林果系统,Forestry and forestry products system,FFPS,30.0,28.0,31.0,36.0,41.0,15.0,19.0,22.0,30.0,32.0,17.0,20.0,21.0,88.0,40.0,54.0,34.0,21.0,25.0,30.0,19.0,37.0,40.0,29.0,23.0,37.0,29.0,17.0,64.0,22.0,18.0,57.0,29.0,19.0,37.0,25.0,26.0,37.0,48.0,44.0,43.0,22.0,17.0,35.0,30.0,27.0
29,4,辽宁宽甸柱参传统栽培体系,辽宁省丹东市宽甸满族自治县振江镇石柱子村,125.405,40.767,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,26.0,31.0,37.0,24.0,30.0,18.0,15.0,20.0,15.0,32.0,17.0,16.0,13.0,29.0,18.0,46.0,23.0,14.0,20.0,22.0,19.0,21.0,26.0,28.0,16.0,22.0,23.0,19.0,29.0,16.0,18.0,41.0,30.0,12.0,18.0,21.0,24.0,23.0,25.0,32.0,42.0,22.0,15.0,34.0,18.0,26.0
30,5,江苏兴化垛田传统农业系统,江苏省泰州市兴化市垛田镇,119.856,32.932,土地利用系统,Land use system,LUS,30.0,34.0,21.0,28.0,25.0,17.0,23.0,34.0,45.0,30.0,19.0,33.0,29.0,24.0,28.0,51.0,26.0,30.0,30.0,31.0,17.0,23.0,25.0,25.0,29.0,26.0,22.0,15.0,26.0,31.0,27.0,19.0,19.0,21.0,21.0,18.0,24.0,28.0,23.0,40.0,20.0,19.0,17.0,24.0,21.0,34.0
31,6,浙江青田稻鱼共生系统,浙江青田县方山乡龙现村,120.304,27.995,复合农业生产系统,Comprehensive agricultural production system,CAPS,16.0,20.0,12.0,36.0,19.0,19.0,23.0,27.0,37.0,24.0,16.0,14.0,20.0,16.0,24.0,20.0,26.0,14.0,14.0,15.0,14.0,24.0,13.0,24.0,31.0,17.0,24.0,21.0,34.0,25.0,11.0,20.0,31.0,21.0,20.0,18.0,10.0,20.0,16.0,26.0,16.0,17.0,10.0,22.0,19.0,27.0
32,7,浙江绍兴会稽山古香榧群,浙江绍兴市柯桥区稽东镇,120.576,29.775,林业和林果系统,Forestry and forestry products system,FFPS,25.0,19.0,9.0,34.0,14.0,12.0,21.0,30.0,22.0,26.0,14.0,22.0,30.0,15.0,24.0,32.0,14.0,16.0,15.0,31.0,11.0,24.0,14.0,21.0,22.0,15.0,24.0,22.0,27.0,17.0,19.0,23.0,29.0,20.0,24.0,17.0,14.0,19.0,12.0,16.0,17.0,14.0,12.0,18.0,19.0,36.0
33,8,福建福州茉莉花种植与茶文化系统,福建省福州市闽侯县上街镇侯官村,119.187,26.1,茶文化系统,Tea culture system,TCS,17.0,20.0,17.0,38.0,30.0,18.0,16.0,26.0,35.0,23.0,20.0,25.0,29.0,22.0,36.0,30.0,26.0,19.0,19.0,19.0,13.0,24.0,13.0,24.0,21.0,20.0,25.0,21.0,25.0,21.0,27.0,19.0,30.0,21.0,22.0,11.0,12.0,20.0,19.0,25.0,19.0,23.0,15.0,26.0,20.0,25.0
34,9,福建尤溪联合梯田,福建省三明市尤溪县联合镇,118.227,26.373,稻作农业系统,Rice farming system,RFS,25.0,30.0,14.0,34.0,19.0,18.0,19.0,27.0,35.0,27.0,22.0,26.0,25.0,22.0,32.0,24.0,26.0,18.0,28.0,22.0,13.0,24.0,13.0,27.0,32.0,20.0,36.0,29.0,38.0,25.0,22.0,20.0,34.0,23.0,28.0,17.0,27.0,21.0,16.0,51.0,22.0,19.0,59.0,22.0,24.0,28.0
35,10,江西万年稻作文化系统,江西万年县裴梅镇荷桥村山区,117.132,28.604,稻作农业系统,Rice farming system,RFS,25.0,21.0,18.0,35.0,25.0,15.0,26.0,33.0,21.0,35.0,21.0,15.0,26.0,23.0,28.0,29.0,20.0,16.0,27.0,27.0,14.0,27.0,12.0,26.0,33.0,23.0,30.0,39.0,33.0,19.0,20.0,21.0,22.0,31.0,28.0,18.0,11.0,19.0,15.0,36.0,29.0,23.0,29.0,22.0,22.0,32.0
36,11,湖南新化紫鹊界梯田,湖南省娄底市新化县水车镇,110.992,27.679,稻作农业系统,Rice farming system,RFS,13.0,15.0,8.0,34.0,22.0,16.0,14.0,15.0,23.0,12.0,15.0,11.0,14.0,17.0,25.0,19.0,13.0,13.0,17.0,16.0,11.0,23.0,9.0,21.0,28.0,13.0,21.0,19.0,13.0,15.0,18.0,20.0,11.0,19.0,16.0,12.0,15.0,13.0,11.0,26.0,13.0,11.0,25.0,13.0,21.0,13.0
37,12,云南红河哈尼稻作梯田系统,云南红河州哀牢山区,103.373,23.366,稻作农业系统,Rice farming system,RFS,19.0,16.0,19.0,32.0,30.0,23.0,26.0,17.0,21.0,15.0,18.0,22.0,19.0,18.0,27.0,26.0,22.0,16.0,19.0,25.0,18.0,35.0,17.0,21.0,17.0,23.0,34.0,49.0,15.0,29.0,26.0,16.0,42.0,15.0,34.0,19.0,18.0,19.0,17.0,27.0,28.0,18.0,24.0,33.0,26.0,28.0
38,13,云南普洱古茶园与茶文化系统,云南普洱市惠民乡景迈村,99.996,22.218,茶文化系统,Tea culture system,TCS,43.0,27.0,41.0,35.0,44.0,27.0,59.0,34.0,32.0,36.0,29.0,29.0,48.0,44.0,46.0,48.0,33.0,52.0,32.0,34.0,28.0,29.0,14.0,29.0,32.0,51.0,38.0,43.0,49.0,83.0,27.0,34.0,35.0,37.0,30.0,48.0,26.0,20.0,33.0,46.0,53.0,29.0,16.0,33.0,38.0,27.0
39,14,贵州从江侗乡稻鱼鸭系统,贵州从江县加榜乡加车村,108.573,25.59,复合农业生产系统,Comprehensive agricultural production system,CAPS,13.0,21.0,12.0,21.0,22.0,23.0,26.0,15.0,17.0,12.0,26.0,14.0,15.0,16.0,26.0,12.0,21.0,12.0,19.0,25.0,16.0,16.0,9.0,14.0,18.0,14.0,19.0,30.0,17.0,22.0,22.0,20.0,9.0,15.0,15.0,15.0,20.0,12.0,11.0,16.0,13.0,19.0,33.0,13.0,19.0,14.0
40,15,陕西佳县古枣园,陕西省榆林市佳县朱家坬镇泥河沟村,110.494,38.187,林业和林果系统,Forestry and forestry products system,FFPS,47.0,31.0,34.0,40.0,27.0,46.0,45.0,35.0,56.0,37.0,32.0,20.0,60.0,42.0,33.0,42.0,46.0,35.0,41.0,75.0,30.0,30.0,35.0,34.0,32.0,55.0,37.0,36.0,49.0,37.0,68.0,39.0,33.0,53.0,28.0,27.0,36.0,48.0,68.0,29.0,30.0,55.0,50.0,29.0,37.0,34.0
41,16,甘肃皋兰什川古梨园,甘肃省兰州市皋兰县什川镇,104.005,36.152,林业和林果系统,Forestry and forestry products system,FFPS,69.0,48.0,34.0,53.0,44.0,59.0,45.0,48.0,41.0,43.0,39.0,47.0,48.0,42.0,36.0,53.0,46.0,46.0,64.0,39.0,30.0,49.0,30.0,47.0,50.0,40.0,23.0,46.0,36.0,23.0,59.0,31.0,42.0,48.0,39.0,26.0,58.0,62.0,40.0,45.0,51.0,55.0,50.0,42.0,30.0,38.0
42,17,甘肃迭部扎尕那农林牧复合系统,甘肃省甘南藏族自治州迭部县益哇镇扎尕那行政村,103.19,34.239,复合农业生产系统,Comprehensive agricultural production system,CAPS,23.0,21.0,21.0,20.0,16.0,21.0,18.0,18.0,19.0,20.0,28.0,13.0,26.0,16.0,18.0,10.0,27.0,17.0,19.0,18.0,20.0,18.0,21.0,27.0,19.0,21.0,19.0,24.0,21.0,22.0,48.0,19.0,16.0,20.0,24.0,22.0,22.0,23.0,20.0,15.0,17.0,19.0,20.0,25.0,16.0,32.0
43,18,新疆吐鲁番坎儿井农业系统,新疆维吾尔自治区吐鲁番市高昌区新城西门村,89.143,42.944,水利灌溉系统,Water irrigation system,WIS,185.0,104.0,129.0,101.0,138.0,189.0,118.0,124.0,124.0,180.0,109.0,111.0,78.0,175.0,154.0,84.0,150.0,148.0,118.0,144.0,110.0,108.0,181.0,109.0,268.0,59.0,149.0,166.0,78.0,182.0,109.0,166.0,154.0,194.0,188.0,57.0,189.0,152.0,96.0,237.0,161.0,365.0,365.0,257.0,193.0,266.0
44,19,天津滨海崔庄古冬枣园,天津市滨海新区大港太平镇崔庄村,117.233,38.629,林业和林果系统,Forestry and forestry products system,FFPS,29.0,27.0,55.0,41.0,52.0,23.0,49.0,35.0,79.0,54.0,27.0,40.0,63.0,58.0,36.0,57.0,73.0,53.0,31.0,38.0,34.0,45.0,56.0,25.0,24.0,43.0,36.0,42.0,77.0,49.0,54.0,42.0,55.0,37.0,54.0,37.0,37.0,71.0,40.0,42.0,46.0,32.0,39.0,49.0,36.0,61.0
45,20,河北宽城传统板栗栽培系统,河北省承德市宽城满族自治县铧尖镇,118.547,40.342,林业和林果系统,Forestry and forestry products system,FFPS,24.0,27.0,47.0,41.0,52.0,23.0,46.0,32.0,65.0,71.0,22.0,40.0,44.0,60.0,33.0,66.0,61.0,53.0,26.0,61.0,28.0,27.0,46.0,27.0,38.0,36.0,34.0,37.0,77.0,42.0,51.0,52.0,34.0,64.0,63.0,38.0,26.0,78.0,37.0,44.0,46.0,43.0,34.0,44.0,48.0,43.0
46,21,河北涉县旱作梯田系统,河北省邯郸市涉县井店镇王金庄村,113.829,36.59,旱作农业系统,Dryland farming system,DFS,53.0,27.0,34.0,40.0,51.0,38.0,29.0,34.0,61.0,37.0,43.0,24.0,26.0,32.0,27.0,33.0,32.0,35.0,36.0,74.0,43.0,31.0,44.0,22.0,29.0,41.0,33.0,37.0,47.0,37.0,59.0,39.0,41.0,27.0,34.0,37.0,39.0,33.0,40.0,40.0,47.0,23.0,43.0,31.0,37.0,33.0
47,22,内蒙古阿鲁科尔沁草原游牧系统,内蒙古自治区赤峰市阿鲁科尔沁旗巴彦温都尔苏木,119.69,44.722,畜牧水产系统,Livestock and aquaculture system,LAS,47.0,59.0,36.0,52.0,74.0,43.0,46.0,56.0,51.0,50.0,38.0,56.0,38.0,35.0,34.0,56.0,66.0,91.0,75.0,47.0,74.0,57.0,71.0,41.0,50.0,65.0,36.0,44.0,64.0,48.0,36.0,39.0,43.0,48.0,85.0,30.0,63.0,85.0,58.0,46.0,44.0,43.0,58.0,51.0,43.0,56.0
48,23,浙江杭州西湖龙井茶文化系统,浙江省杭州市西湖区西湖街道龙井村,120.102,30.221,茶文化系统,Tea culture system,TCS,25.0,20.0,21.0,34.0,25.0,12.0,26.0,33.0,23.0,17.0,21.0,26.0,30.0,22.0,24.0,18.0,26.0,17.0,32.0,31.0,11.0,24.0,11.0,26.0,32.0,16.0,44.0,26.0,27.0,14.0,19.0,23.0,29.0,20.0,21.0,17.0,14.0,21.0,16.0,16.0,17.0,15.0,17.0,23.0,19.0,25.0
