NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26,1,河北宣化传统葡萄园,河北省张家口市宣化区春光乡,115.061,40.655,林业和林果系统,Forestry and forestry products system,FFPS,21.3,53.9,209.4,135.3,38.7,103.100006,87.4,106.8,117.200005,23.3,86.0,52.9,23.1,21.6,145.4,282.90002,40.7,51.7,70.0,57.300003,81.0,28.4,83.9,50.9,57.8,49.699997,67.0,50.0,54.699997,21.7,174.1,21.5,216.90001,54.699997,21.6,27.2,124.0,140.90001,25.0,83.7,104.7,88.7,162.0,71.50156,159.15288
27,2,内蒙古敖汉旱作农业系统,内蒙古赤峰市敖汉旗宝国吐乡,119.916,42.289,旱作农业系统,Dryland farming system,DFS,30.4,108.2,69.8,126.3,197.1,121.6,185.2,78.0,55.0,106.299995,125.5,276.40002,56.699997,174.4,360.8,175.0,109.399994,117.2,173.8,132.5,53.5,52.0,198.59999,52.9,99.7,88.600006,53.2,225.59999,166.1,26.9,102.7,84.6,282.0,74.899994,78.3,41.2,116.5,177.79999,23.4,97.7,125.4,221.0,180.40001,82.90497,148.13638
28,3,辽宁鞍山南果梨栽培系统,辽宁省鞍山市千山区大孤山镇对桩石村,123.046,41.009,林业和林果系统,Forestry and forestry products system,FFPS,122.4,133.8,168.2,254.4,123.3,392.90002,216.1,257.7,309.59998,143.8,165.8,208.3,138.20001,132.90001,563.4,594.1,334.6,199.2,131.4,129.1,39.5,187.79999,98.100006,141.0,86.2,243.0,243.4,248.19998,259.3,151.6,329.8,250.4,562.60004,354.0,41.6,126.899994,192.29999,37.8,186.0,138.5,356.6,273.2,362.5,337.10773,393.35913
29,4,辽宁宽甸柱参传统栽培体系,辽宁省丹东市宽甸满族自治县振江镇石柱子村,125.405,40.767,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,36.7,404.0,366.5,106.0,242.9,312.69998,326.3,296.2,202.1,223.20001,526.5,148.5,327.90002,48.0,190.70001,392.09998,305.1,133.2,506.1,135.0,128.4,223.1,204.7,159.6,280.4,308.1,207.9,449.20004,264.2,245.1,265.4,295.5,397.8,448.9,107.7,225.1,252.9,43.1,284.3,136.8,424.0,206.9,434.0,285.73584,540.10834
30,5,江苏兴化垛田传统农业系统,江苏省泰州市兴化市垛田镇,119.856,32.932,土地利用系统,Land use system,LUS,429.2,466.90002,293.90002,440.8,470.3,337.3,272.0,711.8,218.9,187.29999,441.99997,928.80005,247.79999,375.9,266.0,180.7,333.7,220.39998,244.40001,216.6,403.5,97.600006,217.7,404.9,48.5,175.7,239.7,180.9,155.90001,229.8,180.5,312.5,170.0,48.6,346.0,391.80002,690.0,474.30005,280.4,44.9,324.2,399.6,234.0,215.05576,218.20331
31,6,浙江青田稻鱼共生系统,浙江青田县方山乡龙现村,120.304,27.995,复合农业生产系统,Comprehensive agricultural production system,CAPS,429.30002,394.8,749.8,475.5,613.2999,488.00003,292.8,461.5,505.5,502.8,885.5,159.29999,837.5,602.80005,874.80005,472.6,395.5,755.89996,683.6,714.4,686.3,477.7,421.3,213.70001,458.69998,992.7,881.60004,537.7,681.4,620.6,793.3999,289.6,373.59998,866.0,565.0,850.10004,486.8,373.2,235.59999,639.60004,380.3,595.6,360.6,388.50604,915.0643
32,7,浙江绍兴会稽山古香榧群,浙江绍兴市柯桥区稽东镇,120.576,29.775,林业和林果系统,Forestry and forestry products system,FFPS,285.9,265.7,371.8,800.8,396.3,277.2,301.7,273.09998,629.7,949.0,398.19998,121.8,787.3,564.0,533.7,651.2,179.70001,579.4,481.0,454.7,378.6,93.7,240.20001,46.2,256.19998,425.8,159.1,286.7,160.2,462.40002,311.59998,205.4,289.5,339.59998,511.39996,782.0,408.90002,346.59998,97.8,465.80002,669.3,725.0,360.7,211.21407,397.63068
33,8,福建福州茉莉花种植与茶文化系统,福建省福州市闽侯县上街镇侯官村,119.187,26.1,茶文化系统,Tea culture system,TCS,313.69998,571.9,564.69995,511.30005,397.0,481.3,405.3,241.6,366.09998,187.79999,966.7,237.0,643.1,463.89996,573.2,278.69998,520.7,407.0,410.4,270.8,363.2,411.3,412.89996,185.4,458.59998,742.5,892.2,555.69995,449.1,443.4,360.3,466.90002,573.80005,461.5,295.1,1008.10004,777.9,645.4,442.7,378.7,143.59999,506.2,658.69995,605.7611,667.9772
34,9,福建尤溪联合梯田,福建省三明市尤溪县联合镇,118.227,26.373,稻作农业系统,Rice farming system,RFS,368.0,308.0,226.3,501.00003,303.9,265.4,329.69998,418.5,299.09998,344.0,362.09998,120.7,474.19998,254.7,427.20004,560.2,535.7,294.0,282.4,356.0,316.80002,206.5,328.9,34.3,251.40001,502.90002,423.5,447.6,453.6,297.2,417.7,168.5,281.3,394.1,419.5,383.80002,379.2,354.9,242.20001,301.6,83.6,315.59998,269.3,149.05591,471.30383
35,10,江西万年稻作文化系统,江西万年县裴梅镇荷桥村山区,117.132,28.604,稻作农业系统,Rice farming system,RFS,411.8,552.10004,641.10004,1116.3,606.1,481.4,452.2,512.69995,372.50003,1065.5,486.7,66.2,1072.3,678.69995,757.10004,1435.8999,505.0,527.2,1592.0001,658.1,545.8,338.09998,683.0,269.5,306.0,562.80005,366.0,332.5,399.8,303.9,689.9,318.2,678.5,201.1,481.40002,677.9,469.3,412.0,295.3,738.3,715.0,504.2,593.89996,442.29135,516.7326
