NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
26,1,河北宣化传统葡萄园,河北省张家口市宣化区春光乡,115.061,40.655,林业和林果系统,Forestry and forestry products system,FFPS,21.3,53.9,36.7,31.4,38.7,44.0,62.9,35.1,38.6,23.3,33.2,30.3,23.1,21.6,35.2,45.9,40.7,26.7,48.0,31.7,36.0,28.4,28.7,25.7,32.0,25.4,35.1,26.9,31.3,21.7,44.6,16.7,79.4,32.6,21.6,27.2,42.6,44.7,25.0,33.9,44.0,52.5,44.6,50.152466,49.434994,44.450413
27,2,内蒙古敖汉旱作农业系统,内蒙古赤峰市敖汉旗宝国吐乡,119.916,42.289,旱作农业系统,Dryland farming system,DFS,30.4,33.3,41.0,36.8,118.7,35.0,43.4,45.0,30.8,44.5,42.9,44.9,28.9,38.7,80.1,58.3,49.3,66.1,69.4,50.2,26.8,52.0,55.8,29.4,37.7,53.4,28.5,78.7,61.0,16.5,38.8,30.7,70.6,39.8,40.0,41.2,91.1,59.4,23.4,40.5,35.2,75.0,54.0,58.949802,34.604855,85.26408
28,3,辽宁鞍山南果梨栽培系统,辽宁省鞍山市千山区大孤山镇对桩石村,123.046,41.009,林业和林果系统,Forestry and forestry products system,FFPS,34.5,48.7,59.1,49.5,47.1,80.9,123.3,95.0,51.0,44.6,39.8,46.1,70.0,38.5,101.8,66.7,65.7,92.2,64.3,66.7,39.5,73.6,61.2,44.1,51.6,53.3,74.5,64.1,59.0,52.5,46.2,61.4,209.7,59.1,41.6,47.3,59.8,37.8,60.5,44.7,93.2,63.6,70.7,74.371544,77.06363,47.95599
29,4,辽宁宽甸柱参传统栽培体系,辽宁省丹东市宽甸满族自治县振江镇石柱子村,125.405,40.767,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,36.7,63.5,59.7,36.7,65.0,98.7,71.5,65.3,47.0,95.8,87.4,67.1,147.7,48.0,57.2,62.9,68.9,77.7,76.3,51.8,48.6,62.7,75.7,49.2,95.2,59.2,71.7,70.9,77.0,80.9,67.3,61.8,83.0,61.8,107.7,58.9,51.3,32.5,109.1,52.2,107.9,73.7,70.7,104.759544,97.98911,96.62457
30,5,江苏兴化垛田传统农业系统,江苏省泰州市兴化市垛田镇,119.856,32.932,土地利用系统,Land use system,LUS,93.4,68.6,85.2,88.9,70.3,89.5,77.8,78.2,96.1,95.1,105.7,135.0,61.8,84.2,67.9,141.0,65.6,50.6,59.4,114.9,105.6,58.7,54.4,81.2,48.5,46.8,65.9,59.3,45.0,67.8,136.7,75.1,93.1,48.6,88.6,73.0,127.7,77.1,52.4,44.9,83.6,125.5,102.5,76.99861,74.59572,79.44489
31,6,浙江青田稻鱼共生系统,浙江青田县方山乡龙现村,120.304,27.995,复合农业生产系统,Comprehensive agricultural production system,CAPS,90.8,58.2,182.5,96.5,139.4,92.6,50.0,97.1,191.3,79.5,115.8,48.8,139.4,124.9,199.4,89.0,131.0,113.2,94.9,98.9,101.2,72.9,160.7,68.7,161.0,246.7,170.2,119.5,124.3,159.8,74.8,123.6,68.1,217.9,104.4,154.5,146.0,97.8,47.7,109.1,67.7,53.1,77.8,74.997154,107.33641,67.86576
32,7,浙江绍兴会稽山古香榧群,浙江绍兴市柯桥区稽东镇,120.576,29.775,林业和林果系统,Forestry and forestry products system,FFPS,62.3,55.3,61.6,85.1,58.3,46.0,54.6,58.8,133.3,76.0,110.1,45.2,80.9,88.7,107.2,111.8,59.1,118.5,65.8,58.4,58.4,57.4,69.8,46.2,64.1,105.8,46.0,76.1,45.6,158.6,84.4,64.8,93.7,105.6,85.0,95.2,81.4,62.3,63.0,83.0,107.7,121.9,81.8,47.622684,64.28455,68.602974
33,8,福建福州茉莉花种植与茶文化系统,福建省福州市闽侯县上街镇侯官村,119.187,26.1,茶文化系统,Tea culture system,TCS,66.5,67.6,98.9,105.8,86.9,172.2,52.4,84.8,53.9,88.6,166.1,52.8,117.1,55.5,111.6,62.6,113.0,100.7,101.3,135.9,97.2,53.9,69.7,43.4,110.7,165.9,141.5,126.2,84.0,168.2,66.1,80.4,105.6,86.5,181.0,242.0,152.6,131.8,97.9,74.2,57.2,196.9,102.4,167.58609,103.16918,107.69804
34,9,福建尤溪联合梯田,福建省三明市尤溪县联合镇,118.227,26.373,稻作农业系统,Rice farming system,RFS,69.3,70.2,60.7,78.0,60.1,65.2,63.0,60.8,65.2,68.9,64.9,43.3,100.7,55.3,71.5,99.5,100.0,54.8,81.7,61.9,94.3,62.9,64.3,34.3,52.6,116.8,78.6,96.4,65.3,67.7,72.6,49.4,126.7,126.2,107.6,114.0,60.4,73.7,92.6,84.4,44.6,64.6,79.5,64.69916,110.22681,150.16629
35,10,江西万年稻作文化系统,江西万年县裴梅镇荷桥村山区,117.132,28.604,稻作农业系统,Rice farming system,RFS,71.1,80.8,140.9,107.0,129.9,87.3,65.1,86.6,90.5,127.7,131.0,66.2,112.6,116.0,117.3,113.1,94.7,86.1,150.4,121.1,77.4,66.6,93.5,100.7,88.4,151.5,87.5,147.6,79.6,104.9,92.5,83.3,104.2,90.3,77.3,93.1,86.7,100.8,194.2,87.7,138.1,84.3,106.1,91.82432,94.05203,79.50564
