NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
26,1,河北宣化传统葡萄园,河北省张家口市宣化区春光乡,115.061,40.655,林业和林果系统,Forestry and forestry products system,FFPS,9.016393,9.589041,11.232877,11.780823,9.016393,6.3013697,12.876712,18.082191,9.562841,15.068494,13.150684,16.438356,9.016393,16.438356,16.164383,8.493151,8.196721,21.09589,21.643835,24.657534,17.213116,20.273973,24.109589,11.232877,18.579235,20.547945,26.027397,28.49315,20.491802,27.945206,17.80822,18.90411,13.114754,16.438356,25.205479,19.178082,19.398907,24.109589,22.465754,25.205479,19.67213,21.09589,25.753424,34.79452,25.409836,80.54794
27,2,内蒙古敖汉旱作农业系统,内蒙古赤峰市敖汉旗宝国吐乡,119.916,42.289,旱作农业系统,Dryland farming system,DFS,13.387978,10.410959,16.438356,12.328767,7.6502733,5.479452,8.219178,14.520548,11.4754095,13.424657,11.780823,7.945205,7.6502733,10.958904,14.520548,9.315068,10.655738,19.178082,18.356163,15.616438,16.393442,16.438356,18.90411,14.520548,17.759563,15.068494,19.726028,19.726028,19.398907,21.09589,16.712328,13.69863,9.289618,14.246575,21.369862,19.726028,17.759563,17.80822,20.547945,23.013699,18.579235,16.438356,15.342465,26.301369,17.213116,81.91781
28,3,辽宁鞍山南果梨栽培系统,辽宁省鞍山市千山区大孤山镇对桩石村,123.046,41.009,林业和林果系统,Forestry and forestry products system,FFPS,8.743169,13.69863,16.712328,15.342465,6.830601,3.287671,6.027397,8.493151,9.289618,17.534246,12.602739,10.958904,14.754099,12.602739,18.356163,8.767123,10.655738,24.109589,25.205479,19.452055,17.486338,16.986301,22.739727,14.520548,21.857924,13.150684,14.520548,21.643835,17.759563,19.452055,10.410959,9.863014,7.3770494,11.780823,27.39726,24.383562,16.666668,26.027397,22.465754,23.835615,20.765028,19.726028,18.082191,27.945206,25.13661,72.60274
29,4,辽宁宽甸柱参传统栽培体系,辽宁省丹东市宽甸满族自治县振江镇石柱子村,125.405,40.767,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,8.743169,13.150684,15.342465,11.780823,6.557377,6.3013697,6.849315,7.6712327,12.84153,16.712328,19.726028,12.328767,11.202186,13.150684,20.0,9.589041,10.655738,18.356163,23.287672,18.90411,15.027322,16.986301,20.547945,14.246575,19.67213,12.054794,19.452055,24.931507,21.857924,19.178082,14.794521,12.328767,10.928962,13.150684,22.739727,18.356163,18.306011,18.630136,20.0,24.931507,20.491802,27.39726,18.630136,26.849314,30.32787,72.328766
30,5,江苏兴化垛田传统农业系统,江苏省泰州市兴化市垛田镇,119.856,32.932,土地利用系统,Land use system,LUS,7.6502733,6.849315,7.3972607,9.041096,6.557377,7.3972607,8.219178,12.602739,10.382514,5.7534246,12.054794,7.1232877,10.10929,9.863014,21.09589,7.945205,8.469945,13.69863,18.90411,14.794521,14.207651,16.986301,18.356163,11.232877,27.049181,17.260275,21.369862,22.465754,15.027322,22.465754,17.534246,17.260275,11.202186,26.575342,15.616438,10.684931,17.213116,17.260275,18.082191,17.80822,18.579235,22.19178,23.013699,19.178082,21.857924,70.136986
31,6,浙江青田稻鱼共生系统,浙江青田县方山乡龙现村,120.304,27.995,复合农业生产系统,Comprehensive agricultural production system,CAPS,12.021858,8.493151,8.493151,13.150684,8.743169,8.493151,6.3013697,13.150684,13.934426,8.493151,8.493151,15.89041,10.10929,11.780823,10.684931,8.219178,12.021858,12.054794,16.712328,10.958904,11.4754095,7.945205,15.342465,24.931507,18.032785,14.794521,18.630136,17.260275,15.300547,13.972603,15.068494,12.054794,9.836065,14.520548,13.424657,13.972603,16.393442,19.178082,14.246575,14.246575,16.12022,17.80822,27.671232,23.013699,21.5847,71.78082
32,7,浙江绍兴会稽山古香榧群,浙江绍兴市柯桥区稽东镇,120.576,29.775,林业和林果系统,Forestry and forestry products system,FFPS,7.923497,6.027397,7.3972607,7.6712327,7.3770494,7.6712327,7.3972607,14.520548,15.027322,7.3972607,11.780823,13.150684,9.836065,10.136987,13.69863,8.767123,9.562841,13.150684,13.972603,12.054794,10.10929,9.589041,15.068494,21.643835,18.306011,16.164383,21.369862,23.013699,16.393442,18.082191,15.89041,15.616438,7.3770494,22.19178,12.328767,10.410959,17.213116,15.068494,16.438356,10.136987,12.568305,16.438356,21.09589,20.547945,24.590164,69.0411
33,8,福建福州茉莉花种植与茶文化系统,福建省福州市闽侯县上街镇侯官村,119.187,26.1,茶文化系统,Tea culture system,TCS,17.486338,9.041096,7.6712327,16.438356,7.923497,6.849315,7.1232877,13.69863,12.021858,10.958904,6.849315,17.534246,7.923497,12.602739,11.506849,12.602739,10.655738,11.780823,15.342465,8.493151,13.661202,7.945205,16.438356,26.849314,20.765028,14.520548,17.260275,18.630136,16.12022,16.712328,18.356163,16.986301,11.202186,15.616438,17.80822,16.438356,15.846994,23.013699,18.630136,19.452055,24.863388,20.0,27.39726,19.726028,23.497267,74.79452
34,9,福建尤溪联合梯田,福建省三明市尤溪县联合镇,118.227,26.373,稻作农业系统,Rice farming system,RFS,12.84153,7.6712327,6.027397,12.328767,7.1038256,6.849315,8.219178,13.69863,10.928962,10.684931,7.6712327,17.80822,7.1038256,10.410959,13.150684,11.232877,10.382514,11.506849,15.616438,9.863014,12.021858,10.136987,17.260275,32.328766,21.03825,17.260275,21.643835,18.082191,19.125683,20.821918,14.520548,19.726028,9.016393,16.438356,15.616438,12.054794,12.568305,22.19178,19.178082,24.383562,21.857924,21.09589,26.027397,15.616438,21.5847,74.520546
35,10,江西万年稻作文化系统,江西万年县裴梅镇荷桥村山区,117.132,28.604,稻作农业系统,Rice farming system,RFS,9.289618,4.657534,4.931507,6.3013697,6.2841525,7.6712327,9.589041,10.958904,16.666668,8.493151,9.041096,10.410959,8.196721,7.945205,13.424657,6.575342,10.382514,10.136987,16.164383,14.794521,9.562841,6.849315,16.164383,21.369862,14.754099,18.356163,14.246575,20.821918,14.207651,16.986301,16.164383,14.246575,7.3770494,20.547945,15.068494,9.589041,14.207651,15.068494,20.0,20.821918,14.480874,15.89041,27.671232,15.616438,22.131147,67.671234
36,11,湖南新化紫鹊界梯田,湖南省娄底市新化县水车镇,110.992,27.679,稻作农业系统,Rice farming system,RFS,10.655738,9.863014,6.849315,8.767123,6.830601,9.315068,9.315068,14.794521,9.562841,8.767123,8.767123,7.1232877,14.480874,9.315068,11.780823,10.410959,11.748633,7.945205,15.068494,13.150684,7.6502733,8.493151,14.520548,18.356163,12.84153,14.520548,15.342465,16.438356,15.027322,16.712328,16.164383,18.90411,4.3715844,19.452055,10.684931,8.493151,14.480874,10.958904,13.150684,17.260275,10.382514,19.726028,24.109589,22.19178,19.398907,77.80822
