NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
26,1,河北宣化传统葡萄园,河北省张家口市宣化区春光乡,115.061,40.655,林业和林果系统,Forestry and forestry products system,FFPS,34.73172,34.093903,34.764282,34.972565,34.404694,32.936127,33.65445,35.525696,33.502228,32.951385,33.22403,35.28003,33.75592,33.703888,34.157074,30.994812,31.311737,35.16153,33.741302,36.918304,36.90927,35.337555,35.471405,31.952301,34.36154,38.18689,33.42868,36.618713,34.687683,36.320343,40.434692,34.869537,33.196014,32.39041,33.867676,35.49362,33.479065,34.701813,34.942383,34.16208,34.272217,32.003296,36.013275,35.944305,37.713226,32.476227
27,2,内蒙古敖汉旱作农业系统,内蒙古赤峰市敖汉旗宝国吐乡,119.916,42.289,旱作农业系统,Dryland farming system,DFS,35.920868,36.38379,33.653656,35.862823,36.853912,31.916962,33.417633,34.121918,35.138702,34.468353,32.2153,32.31198,34.089874,33.594086,33.397247,34.232483,31.621613,35.50528,33.62216,36.825592,42.15973,36.32785,34.286163,32.80954,35.581696,36.09781,33.108185,39.098907,35.211884,37.04074,34.714996,32.622955,33.497284,34.371002,37.072113,33.72516,37.078674,36.956696,38.120453,36.854034,37.653076,34.509186,33.92978,38.110626,35.21585,34.059753
28,3,辽宁鞍山南果梨栽培系统,辽宁省鞍山市千山区大孤山镇对桩石村,123.046,41.009,林业和林果系统,Forestry and forestry products system,FFPS,31.4133,32.8024,32.754364,33.52664,31.600677,30.299408,31.636353,32.723236,31.62738,33.224792,30.950226,30.96753,33.211212,29.874237,33.489532,29.888733,32.021637,34.425995,32.20224,34.777985,34.69333,33.406036,34.649445,31.424622,34.7106,33.015564,31.85553,32.34442,31.474518,34.70816,31.460999,30.896881,30.57483,32.69632,33.476532,35.3685,32.64615,37.0744,36.592194,35.629425,32.731995,32.274963,33.07132,34.454407,33.72757,33.733734
29,4,辽宁宽甸柱参传统栽培体系,辽宁省丹东市宽甸满族自治县振江镇石柱子村,125.405,40.767,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,29.155487,31.326141,30.482513,30.876862,29.997955,28.866486,28.116821,29.08847,31.836823,32.64276,29.90915,29.280914,30.027405,28.469513,33.22821,29.243622,29.595398,33.10672,29.441559,32.41922,31.389313,29.393585,32.08322,29.801483,30.99289,30.888702,29.091858,30.746979,31.999908,32.598236,30.039124,30.039368,29.84256,30.095581,32.24301,29.921234,32.917175,32.2883,34.087128,31.816467,31.015778,31.348633,30.454132,32.00302,30.515472,31.856781
30,5,江苏兴化垛田传统农业系统,江苏省泰州市兴化市垛田镇,119.856,32.932,土地利用系统,Land use system,LUS,34.90622,35.674133,34.842316,36.062225,34.739044,34.29648,34.320282,33.722748,36.839874,34.537506,35.958588,35.030273,36.19333,34.14096,36.147736,35.405487,35.059845,36.223907,34.794434,33.335663,34.423798,36.41623,36.55594,36.935028,37.816803,38.34436,37.13852,35.259216,34.5961,35.680664,36.55841,37.565826,35.688232,40.129913,36.49539,34.700592,36.600525,37.107605,34.627167,36.463715,35.791473,34.59671,38.21054,34.502533,36.71402,36.565582
31,6,浙江青田稻鱼共生系统,浙江青田县方山乡龙现村,120.304,27.995,复合农业生产系统,Comprehensive agricultural production system,CAPS,34.1904,33.827484,33.597992,33.625763,33.944305,34.875916,33.41559,34.456787,36.863037,34.474,35.6196,34.992523,34.318176,33.574127,33.088287,34.19742,33.196686,32.078033,34.105835,31.852203,34.01767,32.965057,34.175964,37.15396,33.67862,36.90982,35.102234,35.81833,33.85013,35.68521,34.54663,34.369232,35.894104,36.697906,33.20038,34.326965,34.766693,35.412292,33.894135,32.99008,34.092926,33.811035,37.759583,35.553406,35.090485,34.022125
32,7,浙江绍兴会稽山古香榧群,浙江绍兴市柯桥区稽东镇,120.576,29.775,林业和林果系统,Forestry and forestry products system,FFPS,35.824493,35.57782,34.27127,37.687225,35.69687,35.887634,35.4144,34.876556,38.225067,35.07083,37.479584,36.918945,38.07599,34.518097,37.300507,37.73758,35.371674,34.08609,37.01413,33.937286,35.437714,36.078552,35.033203,39.88037,38.997467,37.100647,36.634186,38.665527,36.25586,39.621063,38.414154,36.898468,35.998993,40.85196,33.787933,36.889984,36.875244,38.88083,36.333527,35.901154,36.25302,34.94095,39.614838,36.544464,40.417816,37.498627
33,8,福建福州茉莉花种植与茶文化系统,福建省福州市闽侯县上街镇侯官村,119.187,26.1,茶文化系统,Tea culture system,TCS,37.77246,35.175964,35.326813,37.500336,36.462677,33.97946,35.279266,35.560883,38.752167,38.289886,35.521942,36.553497,36.863342,37.08429,34.763763,36.346497,34.47336,33.904144,36.619415,33.424072,35.427917,34.200836,34.89337,39.325836,36.9794,36.075256,36.262604,37.820587,35.264465,36.950836,36.616943,37.14557,37.79959,38.132477,34.91327,35.166016,36.68277,38.88614,36.601868,35.324066,38.276825,35.859344,39.721497,36.897064,38.55594,35.60739
34,9,福建尤溪联合梯田,福建省三明市尤溪县联合镇,118.227,26.373,稻作农业系统,Rice farming system,RFS,35.917206,34.900024,35.18808,37.250214,36.230804,34.459076,34.593536,34.844696,37.21988,36.98416,35.88388,36.151978,37.572784,34.698334,36.527924,35.09024,34.50705,33.326324,35.995575,32.31903,35.499573,34.694122,33.307983,39.52234,36.92575,37.437347,35.197784,38.194794,34.831696,35.185272,37.346893,36.427032,36.60327,37.285736,35.64862,33.455658,34.818085,37.25302,35.075165,36.29184,36.919403,34.79837,38.023254,36.046967,37.94461,35.275482
35,10,江西万年稻作文化系统,江西万年县裴梅镇荷桥村山区,117.132,28.604,稻作农业系统,Rice farming system,RFS,36.164337,35.97708,35.47757,37.412018,35.41873,35.051727,37.65451,35.65802,39.495636,36.779083,38.16925,38.70096,36.934845,34.552765,37.16562,36.9458,35.478912,33.01248,36.49594,34.02188,38.267,36.372528,35.23172,39.87863,37.86136,37.025055,37.22513,37.31247,36.832703,36.08145,38.158905,35.982452,36.93393,39.536163,35.17206,36.465027,38.02054,38.35486,38.013947,37.904327,37.578888,36.630096,39.62607,36.802032,38.93521,38.11966
